Year,Geographical region,Unit,Value
2014,Jamaica,%,32.7
2015,Jamaica,%,32.6
2016,Jamaica,%,32.5
2017,Jamaica,%,32.4
2018,Jamaica,%,32.4
2014,Jamaica,,40.1
2018,Jamaica,%,39.8
2019,Jamaica,%,39.7
2020,Jamaica,%,39.7
2021,Jamaica,%,39.7
