Value,Disaggregation combinations using this value,Number of indicators
Bagasse,3,1
Coal,3,1
Fuelwood,1,1
Hydropower,3,1
Natural Gas,3,1
 Per cent Renewable Share,1,1
Per cent Renewable Share,1,1
Petroleum,3,1
% Renewable Share,3,1
Solar,1,1
Total Alternative Energy,3,1
Total,3,1
Wind,3,1
