Value,Disaggregation combinations using this value,Number of indicators
Both Sexes,36,2
Boy,3,1
Boys,20,1
Female,89,22
Females,2,1
Girl,3,1
Girls,18,1
Male,87,22
Total Number of Seats,4,2
Total,15,2
