Value,Disaggregation combinations using this value,Number of indicators
GKMA,2,2
Greater Kingston Metropolitan Area,1,1
Jamaica,3,3
Other Urban Centre,1,1
Other Urban centre,1,1
Other Urban Centres,1,1
Rural Areas,3,3
